"BTK.Open" "BTK.High" "BTK.Low" "BTK.Close" "BTK.Volume" "BTK.Adjusted"
"2004-08-31" NA NA NA NA NA NA
"2004-09-01" 503.579987 503.579987 503.579987 503.579987 0 503.579987
"2004-09-02" NA NA NA NA NA NA
"2004-09-03" NA NA NA NA NA NA
"2004-09-07" NA NA NA NA NA NA
"2004-09-08" NA NA NA NA NA NA
"2004-09-09" 503.480011 503.480011 503.480011 503.480011 0 503.480011
"2004-09-10" NA NA NA NA NA NA
"2004-09-13" NA NA NA NA NA NA
"2004-09-14" NA NA NA NA NA NA
"2004-09-15" 523.650024 523.650024 523.650024 523.650024 0 523.650024
"2004-09-16" NA NA NA NA NA NA
"2004-09-17" NA NA NA NA NA NA
"2004-09-20" 534.48999 534.48999 534.48999 534.48999 0 534.48999
"2004-09-21" NA NA NA NA NA NA
"2004-09-22" 524.909973 524.909973 524.909973 524.909973 0 524.909973
"2004-09-23" 524 524 524 524 0 524
"2004-09-24" 525 525 525 525 0 525
"2004-09-27" 516.609985 516.609985 516.609985 516.609985 0 516.609985
"2004-09-28" 518.400024 518.400024 518.400024 518.400024 0 518.400024
"2004-09-29" 520.619995 520.619995 520.619995 520.619995 0 520.619995
"2004-09-30" NA NA NA NA NA NA
"2004-10-01" 530.75 530.75 530.75 530.75 0 530.75
"2004-10-04" NA NA NA NA NA NA
"2004-10-05" NA NA NA NA NA NA
"2004-10-06" 532.679993 532.679993 532.679993 532.679993 0 532.679993
"2004-10-07" NA NA NA NA NA NA
"2004-10-08" 507.5 507.5 507.5 507.5 0 507.5
"2004-10-11" 513.570007 513.570007 513.570007 513.570007 0 513.570007
"2004-10-12" 509.700012 509.700012 509.700012 509.700012 0 509.700012
"2004-10-13" NA NA NA NA NA NA
"2004-10-14" 494.059998 494.059998 494.059998 494.059998 0 494.059998
"2004-10-15" NA NA NA NA NA NA
"2004-10-18" NA NA NA NA NA NA
"2004-10-19" 505.209991 505.209991 505.209991 505.209991 0 505.209991
"2004-10-20" 507.670013 507.670013 507.670013 507.670013 0 507.670013
"2004-10-21" 501.51001 501.51001 501.51001 501.51001 0 501.51001
"2004-10-22" 490.709991 490.709991 490.709991 490.709991 0 490.709991
"2004-10-25" 487.98999 487.98999 487.98999 487.98999 0 487.98999
"2004-10-26" NA NA NA NA NA NA
"2004-10-27" NA NA NA NA NA NA
"2004-10-28" NA NA NA NA NA NA
"2004-10-29" 515.26001 515.26001 515.26001 515.26001 0 515.26001
